# W0_kgf Wf_kgf AR_w xr_w S_w sweep_w x_mlg tcr_w z_lg y_mlg
292237 109423 9.79951 15.9237 375.274 0.604781 29.376 0.187683 -6.03814 6.94388
292239 109420 9.79989 15.9249 375.274 0.604785 29.3759 0.18763 -6.03814 6.94387
292239 109420 9.79989 15.9249 375.274 0.604785 29.3759 0.18763 -6.03809 6.94387
292250 109416 9.79989 15.9295 375.274 0.604785 29.3759 0.187478 -6.03809 6.94387
292376 109411 9.79347 15.8892 376.073 0.604787 29.3791 0.186939 -6.02593 6.9438
292380 109410 9.79347 15.8937 376.073 0.604788 29.3791 0.186886 -6.0269 6.94264
292388 109410 9.79312 15.8937 376.073 0.604788 29.3736 0.186797 -6.02639 6.94147
292388 109410 9.79312 15.8937 376.073 0.604788 29.3749 0.186797 -6.0374 6.94383
292393 109406 9.79345 15.8937 376.073 0.604788 29.3742 0.186708 -6.02593 6.936
292439 109401 9.79345 15.894 376.117 0.604674 29.3808 0.186235 -6.02616 6.94198
292454 109390 9.79312 15.8919 376.12 0.604785 29.3808 0.18599 -6.0056 6.94147
292468 109385 9.79312 15.8919 376.12 0.604785 29.3808 0.185805 -6.00556 6.94147
